mode,server_cap,completed_vehicles,total_wait_time,average_wait_time,max_wait_time,total_simulation_time,simultaneous_crossing_events,conflict_violations
MM1,1,4/4,10,2.50,6,13,0,0
MM2,2,4/4,8,2.00,6,13,2,0
